"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
625;625;"22876";"Wedel";"Tinsdaler Weg";"183"
636;636;"96199";"Zapfendorf";"Weiherweg";"17"
637;637;"79111";"Freiburg";"Jechtingerstr.";"13"
640;640;"75177";"Pforzheim";"Hohenzollernstr.";"16"
645;645;"49751";"Sögel/Emsland";"Südstraße";"10"
646;646;"81373";"München";"Am Harras";"15"
658;658;"67549";"Worms";"Holderbaumstr.";"19"
661;661;"78467";"Konstanz";"Robert-Bosch-Str.";"3"
662;662;"88353";"Kisslegg";"Raiffeisenstr.";"15"
663;663;"64625";"Bensheim";"Berliner Ring";"22"
666;666;"73033";"Göppingen";"Bahnhofstr.";"35"
670;670;"85774";"Unterföhring";"Feringastraße";"4"
671;671;"86926";"Greifenberg";"Gewerbering";"6"
673;673;"64293";"Darmstadt";"Otto-Hesse-Str.";"19"
676;676;"80992";"München";"Riesstraße";"24"
677;677;"35440";"Linden";"Giessener Str.";"115"
680;680;"82031";"Grünwald";"Lil-Dagover-Ring";"7"
686;686;"79618";"Rheinfelden";"Grossmattstrasse";"11"
689;689;"15562";"Rüdersdorf";"Maienbergstraße";"10-12"
698;698;"35274";"Kirchhain";"Menchestr.";"22 A"
701;701;"50739";"Köln";"Robert-Perthel-Straße";"49"
703;703;"99867";"Gotha";"Hans-C.Wirz-Str.";"2"
705;705;"63263";"Neu-Isenburg";"Frankfurter Straße";"233, A3"
717;717;"12277";"Berlin";"Rigistraße";"2"
718;718;"63801";"Kleinostheim";"Lindigstraße";"4"
726;726;"82049";"Großhesselohe";"Georg-Kalb-Straße";"5-8"
734;734;"64293";"Darmstadt";"Frankfurter Str.";"250"
737;737;"6052";"Frankfurt am Main";"Hahnstr.";"31-35"
751;751;"82142";"Planegg";"Bahnhofstr.";"92"
752;752;"42897";"Remscheid";"Karlstr.";"8 b"
760;760;"83052";"Bruckmühl";"Bahnhofstr.";"24"
761;761;"61118";"Bad Vilbel";"Stadastr.";"2-18"
762;762;"77815";"Bühl";"Hurststraße";"31"
765;765;"86156";"Augsburg";"Kobelweg";"95"
767;767;"82031";"Grünwald";"Lil-Dagover-Ring";"7"
792;792;"71106";"Magstadt";"Hutwiesenstra.";"14"
797;797;"51149";"Köln";"Kölner Str.";"48"
798;798;"90455";"Nürnberg";"Steinthalstr.";"1"
809;809;"83533";"Edling";"Am Gewerbering";"4/6"
813;813;"10785";"Berlin";"Linkstr.";"10"
819;819;"92551";"Stulln";"Werksstraße";"3"
829;829;"04347";"Leipzig";"Brahestr.";"13"
842;842;"21335";"Lüneburg";"Heiligenthaler Str.";"4"
861;861;"63755";"Alzenau";"Carl-Zeiss-Str.";"2"
881;881;"89079";"Ulm";"Graf-Arco-Str.";"3"
886;886;"82515";"Wolfratshausen";"Hans-Urmiller-Ring";"58"
887;887;"64295";"Darmstadt";"Wittichstr.";"6"
889;889;"65795";"Hattersheim";"Philipp-Reis-Str.";"2"
896;896;"50996";"Köln";"Uferstr.";"45"
906;906;"77815";"Bühl";"Steinfeldweg";"13"
